시설번호,시설유형코드,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,상세위치,안전센터명,보호틀유무,사용가능여부,설치연도,배관깊이,출수압력,배관지름,관할소방서명,관할소방서전화번호,데이터기준일자,행정동
강남-역삼-000015,1,서울특별시,강남구,11380,서울특별시 강남구 언주로 510 효림빌딩,서울특별시 강남구 역삼동 700-6 효림빌딩,37.5006480861111,127.036916451111,,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000019,1,서울특별시,강남구,11380,서울특별시 강남구 논현로 503 대신저축은행 앞,서울특별시 강남구 역삼동 642-9 대신저축은행 앞,37.5012459011111,127.036501571111,,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000020,2,서울특별시,강남구,11380,서울특별시 강남구 강남대로 390 미진프라자,서울특별시 강남구 역삼동 825  미진프라자,37.4979982121111,127.028692831111,헤디코디 미용실,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000021,1,서울특별시,강남구,11380,서울특별시 강남구 강남대로 412 규정빌딩,서울특별시 강남구 역삼동 820  규정빌딩,37.4991268631111,127.027249511111,,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000036,1,서울특별시,강남구,11380,서울특별시 강남구 강남대로 450 한국자산관리공사,서울특별시 강남구 역삼동 814  한국자산관리공사,37.5025007051111,127.025635721111,,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000046,1,서울특별시,강남구,11380,서울특별시 강남구 역삼로4길 22 ,서울특별시 강남구 역삼동 832-56 ,37.4920151991111,127.032440511111,,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000052,1,서울특별시,강남구,11380,서울특별시 강남구 봉은사로 106 강남마샤전자담배앞,서울특별시 강남구 역삼동 601  강남마샤전자담배앞,37.5043619081111,127.025395151111,요거프레스,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000069,1,서울특별시,강남구,11680,서울특별시 강남구 논현로63길 8 세모신용협동조합,서울특별시 강남구 역삼동 797-27 세모신용협동조합,37.493170911111,127.039576891111,남산빌딩,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000077,1,서울특별시,강남구,11680,서울특별시 강남구 테헤란로27길 16 BMY역삼타워,서울특별시 강남구 역삼동 678-10 BMY역삼타워,37.5024931441111,127.037805471111,서울비젼 사옥,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
강남-역삼-000080,1,서울특별시,강남구,11680,서울특별시 강남구 봉은사로 302 역삼아모제SK리더스뷰,서울특별시 강남구 역삼동 680  역삼아모제SK리더스뷰,37.5085478111111,127.038890961111,대신저축은행 앞,역삼119안전센터,N,,,,,,강남소방서,02-6981-7443,2025-12-31,서울특별시 강남구 역삼1동
