WRINV_NO,FIRE_TYPE_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,BLDG_SRTRF_NM,BLDG_RSCU_DNGCT,GRND_NOFL,UDGD_NOFL,GFA,BTTM_AREA,BLDG_STTS_NM,DTH_CNT,INJPSN_CNT,HNL_DAM_CNT,PRPT_DAM_AMT,OCRN_YR,SEASN_NM,QTR_NO,OCRN_YMD,OCRN_TM,OCRN_MM,OCRN_DAY,OCRN_HR,OCRN_MN,DCLR_DOW,FRSTN_NM,CNTR_NM,LFDAU_NM,DSPT_REQ_TM,FIRE_SUPESN_REQ_TM,GRNDS_CTPV_NM,GRNDS_SGG_NM,CTY_FRMVL_SE_NM,DAMG_RGN_LOT,DAMG_RGN_LAT,GRNDS_DSTNC,CNTR_GRNDS_DSTNC,LFDAU_GRNDS_DSTNC,IGTN_HTSRC_LCLSF_NM,IGTN_HTSRC_SCLSF_NM,IGTN_DMNT_LCLSF_NM,IGTN_DMNT_SCLSF_NM,FRST_IGOBJ_LCLSF_NM,FRST_IGOBJ_SCLSF_NM,IGTN_ISTR_LCLSF_NM,IGTN_ISTR_SCLSF_NM,CMBS_EXPOBJ_LCLSF_NM,CMBS_EXPOBJ_SCLSF_NM,FCLT_PLC_LCLSF_NM,FCLT_PLC_MCLSF_NM,FCLT_PLC_SCLSF_NM,IGTN_FLR_NM,SO_AREA,FIRE_INSRNC_OBLG_JOIN_TRGT_YN,ARSON_MNG_TRGT_YN,MUB_YN,EMRG_CNTRL_YN,IGTN_PLC_NM,VHCL_IGTN_PSTN_NM,FND_FIRE_SE_NM,FND_FIRE_IGTN_BRNCH_NM,HR_UNIT_ARTMP,HR_UNIT_RN,HR_UNIT_WSPD,HR_UNIT_WNDRCT,HR_UNIT_HUM,HR_UNIT_SNWFL,HR_UNIT_VSDST,행정동
170102152537131,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,6.0,3.0,1541.0,161.0,사용중,0,0,0,275,2017,겨울,1,20170102,123700,1,2,12,37,월요일,강남소방서,역삼119안전센터,역삼119안전센터,420,800,서울특별시,강남구,도시,127.0275626,37.4996146,5.0,2.0,0.0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,음식물 조리중,식품,음식물,,,,,생활서비스,음식점,한식,-2.0,0.0,N,Y,Y,,,,,,7.6,,2.1,230.0,70.0,,409.0,역삼1동
170103165805184,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,12.0,4.0,24533.0,1439.0,사용중,0,0,0,259,2017,겨울,1,20170103,125300,1,3,12,53,화요일,강남소방서,역삼119안전센터,역삼119안전센터,444,600,서울특별시,강남구,도시,127.0350268,37.4985647,4.0,2.0,0.0,작동기기,전기적 아크(단락),전기적 요인,과부하/과전류,전기/전자,전선피복,생활기기,세탁기,,,판매/업무시설,일반업무,오피스텔,6.0,0.0,N,N,N,,,,,,5.9,,2.4,200.0,44.0,,684.0,역삼1동
170107221234984,건축/구조물,조립식,샌드위치패널조,샌드위치패널,1.0,1.0,0.0,4.0,4.0,사용중,0,0,0,30,2017,겨울,1,20170107,213100,1,7,21,31,토요일,강남소방서,역삼119안전센터,역삼119안전센터,350,0,서울특별시,강남구,도시,127.0292832,37.4988997,4.0,2.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,풀/ 나뭇잎,,,,,기타서비스,기타건축물,기타 건축물,1.0,0.0,N,N,N,,,,,,4.4,,1.4,50.0,59.0,,888.0,역삼1동
170108125443627,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,6.0,1.0,1784.0,341.0,사용중,0,0,0,426,2017,겨울,1,20170108,113100,1,8,11,31,일요일,강남소방서,역삼119안전센터,역삼119안전센터,504,1152,서울특별시,강남구,도시,127.0270202,37.5019062,4.0,2.0,0.0,작동기기,전기적 아크(단락),전기적 요인,트래킹에 의한 단락,전기/전자,전기/ 전자기기 기판,조명/ 간판,네온사인/간판등,,,생활서비스,일상서비스,이미용실,3.0,0.0,N,Y,N,,,,,,9.2,,2.3,50.0,51.0,,1964.0,역삼1동
170109153314313,건축/구조물,양식(옥),벽돌조,슬라브가,1.0,2.0,1.0,258.0,151.0,사용중,0,0,0,189,2017,겨울,1,20170109,143500,1,9,14,35,월요일,강남소방서,역삼119안전센터,역삼119안전센터,454,200,서울특별시,강남구,도시,127.0288118,37.5047778,4.0,2.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이,,,,,주거,단독주택,단독주택,1.0,1.0,N,N,N,,,,,,3.6,,4.0,320.0,49.0,,783.0,역삼1동
170110125016642,기타(쓰레기 화재등),,,,,,,,,,0,0,0,430,2017,겨울,1,20170110,115900,1,10,11,59,화요일,강남소방서,역삼119안전센터,역삼119안전센터,554,0,서울특별시,강남구,도시,127.0285292,37.4990479,4.0,2.0,0.0,담뱃불/ 라이터불,담뱃불,부주의,담배꽁초,종이/목재/건초등,종이,,,,,기타,야외,쓰레기,,2.0,N,N,N,,,,,,-0.5,,3.5,270.0,49.0,,1783.0,역삼1동
170119053156836,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,2.0,1.0,425.0,166.0,사용중,0,0,0,2741,2017,겨울,1,20170119,40300,1,19,4,3,목요일,강남소방서,역삼119안전센터,역삼119안전센터,604,500,서울특별시,강남구,도시,127.0276083,37.5029501,4.0,2.0,0.0,작동기기,전기적 아크(단락),전기적 요인,미확인단락,전기/전자,전선피복,전기설비,배전반/분전반,,,생활서비스,음식점,기타 음식점,-1.0,10.0,N,N,Y,,,,,,-4.1,,0.6,290.0,81.0,,304.0,역삼1동
170121204756578,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,10.0,3.0,18046.0,1385.0,사용중,0,1,1,2616,2017,겨울,1,20170121,93700,1,21,9,37,토요일,강남소방서,역삼119안전센터,역삼119안전센터,251,1800,서울특별시,강남구,도시,127.0330259,37.4960912,4.0,1.0,0.0,화학적 발화열,화학반응열,부주의,음식물 조리중,식품,튀김유,,,,,생활서비스,음식점,한식,-1.0,30.0,N,Y,Y,,,,,,-8.3,0.0,1.9,20.0,72.0,4.0,810.0,역삼1동
170128162229936,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,5.0,2.0,1028.0,151.0,사용중,0,0,0,6818,2017,겨울,1,20170128,143100,1,28,14,31,토요일,강남소방서,역삼119안전센터,역삼119안전센터,511,900,서울특별시,강남구,도시,127.0264535,37.5039602,5.0,2.0,0.0,마찰/ 전도/ 복사,화염 전도/복사열,부주의,가연물 근접방치,합성수지,기타(합성수지),계절용 기기,전기장판/담요/방석류,,,주거,단독주택,상가주택(주택부분에서 화재가 발생한 경우에만 해당),4.0,10.0,N,Y,N,,,,,,4.0,,2.0,90.0,21.0,,2000.0,역삼1동
170130100018258,건축/구조물,양식(옥),철근콘크리트조,슬라브가,1.0,3.0,1.0,1537.0,423.0,사용중,0,0,0,473,2017,겨울,1,20170130,85200,1,30,8,52,월요일,강남소방서,역삼119안전센터,역삼119안전센터,408,0,서울특별시,강남구,도시,127.0410745,37.5054349,4.0,2.0,0.0,작동기기,기기 전도/복사열,기계적 요인,과열/ 과부하,합성수지,플라스틱/ PVC/ 비닐/ 장판,,,,,생활서비스,음식점,횟집,1.0,0.0,N,Y,N,,,,,,-5.9,,2.3,270.0,79.0,2.2,562.0,역삼1동
